school,student_grade,met_growth_count,met_growth_percent,met_growth_sum,met_performance_count,met_performance_percent,met_performance_sum
Aspen Elementary,1,23,0.5217391304347826,12.0,28,0.5714285714285714,16
Aspen Elementary,2,20,0.35,7.0,23,0.7391304347826086,17
Aspen Elementary,3,24,0.4583333333333333,11.0,25,0.48,12
Aspen Elementary,4,26,0.4230769230769231,11.0,34,0.6470588235294118,22
Aspen Elementary,5,20,0.4,8.0,24,0.5833333333333334,14
Aspen Elementary,6,23,0.7391304347826086,17.0,25,0.76,19
Aspen Elementary,7,19,0.5263157894736842,10.0,22,0.6363636363636364,14
Aspen Elementary,8,15,0.3333333333333333,5.0,21,0.6666666666666666,14
Aspen Elementary,K,18,0.6111111111111112,11.0,24,0.6666666666666666,16
Bear Creek Elementary,1,21,0.6666666666666666,14.0,24,0.7916666666666666,19
Bear Creek Elementary,2,24,0.75,18.0,24,0.4583333333333333,11
Bear Creek Elementary,3,26,0.5384615384615384,14.0,32,0.53125,17
Bear Creek Elementary,4,18,0.5,9.0,21,0.5714285714285714,12
Bear Creek Elementary,5,24,0.5,12.0,27,0.6296296296296297,17
Bear Creek Elementary,6,23,0.34782608695652173,8.0,26,0.5384615384615384,14
Bear Creek Elementary,7,22,0.6363636363636364,14.0,30,0.4666666666666667,14
Bear Creek Elementary,8,24,0.5,12.0,28,0.5714285714285714,16
Bear Creek Elementary,K,26,0.38461538461538464,10.0,29,0.4827586206896552,14
Canyon Ridge Elementary,1,32,0.46875,15.0,36,0.6944444444444444,25
Canyon Ridge Elementary,2,20,0.5,10.0,26,0.46153846153846156,12
Canyon Ridge Elementary,3,21,0.6666666666666666,14.0,24,0.625,15
Canyon Ridge Elementary,4,29,0.6551724137931034,19.0,36,0.5833333333333334,21
Canyon Ridge Elementary,5,29,0.4482758620689655,13.0,34,0.4411764705882353,15
Canyon Ridge Elementary,6,19,0.47368421052631576,9.0,20,0.65,13
Canyon Ridge Elementary,7,30,0.5,15.0,33,0.5454545454545454,18
Canyon Ridge Elementary,8,22,0.5454545454545454,12.0,26,0.5384615384615384,14
Canyon Ridge Elementary,K,16,0.3125,5.0,18,0.5,9
Cedar Hills Elementary,1,31,0.5806451612903226,18.0,36,0.75,27
Cedar Hills Elementary,2,26,0.4230769230769231,11.0,30,0.4666666666666667,14
Cedar Hills Elementary,3,17,0.47058823529411764,8.0,27,0.5555555555555556,15
Cedar Hills Elementary,4,25,0.68,17.0,32,0.6875,22
Cedar Hills Elementary,5,26,0.5,13.0,28,0.4642857142857143,13
Cedar Hills Elementary,6,24,0.625,15.0,26,0.5,13
Cedar Hills Elementary,7,26,0.5,13.0,33,0.48484848484848486,16
Cedar Hills Elementary,8,24,0.5833333333333334,14.0,30,0.43333333333333335,13
Cedar Hills Elementary,K,25,0.56,14.0,30,0.6,18
Central High,1,27,0.5185185185185185,14.0,30,0.4,12
Central High,2,27,0.5185185185185185,14.0,32,0.5625,18
Central High,3,20,0.7,14.0,24,0.5833333333333334,14
Central High,4,22,0.6363636363636364,14.0,28,0.6071428571428571,17
Central High,5,22,0.5454545454545454,12.0,27,0.5185185185185185,14
Central High,6,24,0.4166666666666667,10.0,26,0.34615384615384615,9
Central High,7,28,0.6785714285714286,19.0,34,0.6176470588235294,21
Central High,8,23,0.6956521739130435,16.0,25,0.6,15
Central High,K,19,0.5789473684210527,11.0,21,0.5714285714285714,12
Eagle View Elementary,1,20,0.25,5.0,27,0.48148148148148145,13
Eagle View Elementary,2,22,0.5,11.0,24,0.5833333333333334,14
Eagle View Elementary,3,28,0.5714285714285714,16.0,35,0.4857142857142857,17
Eagle View Elementary,4,19,0.42105263157894735,8.0,22,0.6363636363636364,14
Eagle View Elementary,5,31,0.6129032258064516,19.0,38,0.5,19
Eagle View Elementary,6,14,0.5714285714285714,8.0,21,0.5714285714285714,12
Eagle View Elementary,7,30,0.5666666666666667,17.0,35,0.5428571428571428,19
Eagle View Elementary,8,21,0.6190476190476191,13.0,25,0.6,15
Eagle View Elementary,K,26,0.5,13.0,29,0.6896551724137931,20
East High,1,26,0.46153846153846156,12.0,32,0.625,20
East High,2,30,0.5666666666666667,17.0,35,0.45714285714285713,16
East High,3,28,0.42857142857142855,12.0,34,0.5294117647058824,18
East High,4,28,0.5,14.0,34,0.5882352941176471,20
East High,5,24,0.7083333333333334,17.0,27,0.6296296296296297,17
East High,6,16,0.5625,9.0,20,0.7,14
East High,7,30,0.6666666666666666,20.0,39,0.5897435897435898,23
East High,8,26,0.46153846153846156,12.0,34,0.6176470588235294,21
East High,K,24,0.5,12.0,30,0.6,18
Falcon Ridge Elementary,1,29,0.5172413793103449,15.0,30,0.6666666666666666,20
Falcon Ridge Elementary,2,29,0.5172413793103449,15.0,39,0.6153846153846154,24
Falcon Ridge Elementary,3,27,0.48148148148148145,13.0,34,0.47058823529411764,16
Falcon Ridge Elementary,4,32,0.40625,13.0,37,0.5945945945945946,22
Falcon Ridge Elementary,5,18,0.5555555555555556,10.0,24,0.625,15
Falcon Ridge Elementary,6,28,0.5714285714285714,16.0,33,0.6060606060606061,20
Falcon Ridge Elementary,7,15,0.6666666666666666,10.0,19,0.5263157894736842,10
Falcon Ridge Elementary,8,29,0.5172413793103449,15.0,35,0.45714285714285713,16
Falcon Ridge Elementary,K,29,0.3793103448275862,11.0,33,0.5151515151515151,17
Foothills Elementary,1,22,0.5,11.0,24,0.5833333333333334,14
Foothills Elementary,2,24,0.4166666666666667,10.0,24,0.2916666666666667,7
Foothills Elementary,3,33,0.45454545454545453,15.0,36,0.5,18
Foothills Elementary,4,26,0.6153846153846154,16.0,29,0.5862068965517241,17
Foothills Elementary,5,19,0.42105263157894735,8.0,22,0.5,11
Foothills Elementary,6,31,0.4838709677419355,15.0,39,0.5128205128205128,20
Foothills Elementary,7,34,0.47058823529411764,16.0,40,0.625,25
Foothills Elementary,8,29,0.4827586206896552,14.0,32,0.5625,18
Foothills Elementary,K,20,0.65,13.0,27,0.5185185185185185,14
Grand Mesa Elementary,1,26,0.5,13.0,35,0.45714285714285713,16
Grand Mesa Elementary,2,18,0.6666666666666666,12.0,20,0.5,10
Grand Mesa Elementary,3,25,0.52,13.0,29,0.5172413793103449,15
Grand Mesa Elementary,4,23,0.391304347826087,9.0,25,0.6,15
Grand Mesa Elementary,5,31,0.4838709677419355,15.0,36,0.5555555555555556,20
Grand Mesa Elementary,6,27,0.4444444444444444,12.0,29,0.5172413793103449,15
Grand Mesa Elementary,7,23,0.4782608695652174,11.0,29,0.6206896551724138,18
Grand Mesa Elementary,8,20,0.45,9.0,27,0.5925925925925926,16
Grand Mesa Elementary,K,18,0.4444444444444444,8.0,20,0.55,11
Heritage Middle,1,15,0.4666666666666667,7.0,19,0.5263157894736842,10
Heritage Middle,2,22,0.6818181818181818,15.0,25,0.68,17
Heritage Middle,3,19,0.5789473684210527,11.0,21,0.47619047619047616,10
Heritage Middle,4,20,0.35,7.0,25,0.64,16
Heritage Middle,5,24,0.4583333333333333,11.0,29,0.5172413793103449,15
Heritage Middle,6,26,0.5,13.0,30,0.6333333333333333,19
Heritage Middle,7,20,0.65,13.0,28,0.75,21
Heritage Middle,8,21,0.47619047619047616,10.0,25,0.64,16
Heritage Middle,K,24,0.5416666666666666,13.0,30,0.6,18
Horizon Middle,1,17,0.47058823529411764,8.0,21,0.6666666666666666,14
Horizon Middle,2,23,0.5217391304347826,12.0,29,0.4827586206896552,14
Horizon Middle,3,16,0.625,10.0,20,0.25,5
Horizon Middle,4,18,0.7222222222222222,13.0,25,0.52,13
Horizon Middle,5,27,0.6666666666666666,18.0,29,0.4827586206896552,14
Horizon Middle,6,20,0.6,12.0,27,0.37037037037037035,10
Horizon Middle,7,21,0.47619047619047616,10.0,23,0.4782608695652174,11
Horizon Middle,8,19,0.3157894736842105,6.0,22,0.45454545454545453,10
